,name,community
0,0,硚口区 汉口春天
1,1,硚口区 金地悦江时代-1号楼
2,2,硚口区 名仕阁小区
3,3,武昌区 付家坡二路8号3栋-1单元
4,4,东西湖区 恒大嘉园
5,5,硚口区 硚口金利屋
6,6,江岸区 同福社区
7,7,洪山区 万科金色城市-2002栋
8,8,江夏区 世纪花园6楼
9,9,江岸区 融科天城
10,10,武昌区 环卫小区
11,11,汉阳区 车站前路58号楼
12,12,江岸区 宝岛公寓
13,13,江岸区 盛景花园-5栋
14,14,青山区 碧园小区
15,15,江岸区 美好名流世家
16,16,江汉区 泛海国际·松海园
17,17,汉阳区 新长江香榭琴台-5栋
18,18,江夏区 杨家湾还建楼
19,19,江岸区 袁家墩-125号楼
20,20,江岸区 外滩·棕榈泉-7栋
21,21,青山区 58街坊
22,22,武昌区 黄鹤世家
23,23,洪山区 红星社区
24,24,武昌区 中大长江紫都
25,25,硚口区 营北社区-17栋
26,26,武昌区 西厂口社区
27,27,江岸区 石桥花园-3栋
28,28,洪山区 沙湖港湾-B区
29,29,武昌区 湖北省求实法律事务所住宅楼-1幢
30,30,青山区 新奥·依江畔园-10号楼
31,31,洪山区 武汉体育学院家属区24
32,32,武昌区 才华茗苑
33,33,洪山区 保利时代北区-3栋
34,34,武昌区 水陆小区
35,35,青山区 江南春城-17栋
36,36,江汉区 天门墩社区
37,37,青山区 碧苑花园-21栋
38,38,江岸区 百步亭花园现代城-二区
39,39,江汉区 福星华府
40,40,汉阳区 江腾苑-B区
41,41,武昌区 惠誉花园
42,42,洪山区 风度柏林
43,43,武昌区 紫领公寓
44,44,武昌区 常阳丽江城
45,45,江岸区 融科天城
46,46,江夏区 江郡华府-3幢
47,47,武昌区 万福林
48,48,硚口区 既济春天园小区
49,49,硚口区 天宇盛世滨江
50,50,青山区 钢都花园126街坊
51,51,江岸区 金色未来
52,52,江汉区 妙墩小区-AB栋
53,53,江岸区 金地·京汉1903-B座
54,54,汉阳区 江城明珠
55,55,汉阳区 枫华苑(马鹦路)
56,56,汉阳区 鲤鱼洲家园
57,57,江岸区 同福社区
58,58,江岸区 百步亭·世博园
59,59,武昌区 首义师苑
60,60,江夏区 江夏区关山桥小区
61,61,洪山区 融海杰座
62,62,武昌区 百瑞景中央生活区东二区西区-1栋
63,63,洪山区 城市花园
64,64,硚口区 汉口春天
65,65,江岸区 富强天合熙园
66,66,蔡甸区 碧波山庄
67,67,青山区 大华·滨江天地铂金瑞府
68,68,江岸区 田园小区
69,69,汉阳区 汉桥金福世家
70,70,洪山区 加州阳光
71,71,洪山区 保利心语社区
72,72,洪山区 万科嘉园
73,73,武昌区 汉飞逛逛街-1号楼
74,74,洪山区 曙光星城
75,75,江岸区 悦秀苑
76,76,洪山区 百胜青城壹品
77,77,青山区 58街坊
78,78,江岸区 天悦外滩金融中心A栋
79,79,洪山区 金地雄楚-1号
80,80,硚口区 时代天骄
81,81,武昌区 沈家湾花园小区
82,82,武昌区 中国铁建·1818中心-7-1栋
83,83,武昌区 万达御湖世家
84,84,硚口区 中城·长青国际-3栋
85,85,汉阳区 华润中央公园-二期
86,86,青山区 八大家花园43街坊-20栋
87,87,江岸区 华清园
88,88,硚口区 同馨花园-二期
89,89,洪山区 北辰光谷里
90,90,洪山区 红霞新村|-B36栋
91,91,not sure
92,92,汉阳区 江欣苑社区-120栋
93,93,汉阳区 王家湾商圈-1号楼
94,94,江岸区 蔡家田社区A区-36栋
95,95,武昌区 嘉景花园
96,96,蔡甸区 金凯公寓
97,97,硚口区 幸乐村-10号楼
98,98,青山区 钢花新村115街坊
99,99,江岸区 黄孝河故道住宅工程第6栋
100,100,武昌区 武昌区粮道街道中医社区
101,101,洪山区 银海·东湖珞珈
102,102,汉阳区 广电兰亭盛荟-二期
103,103,江岸区 融科天城
104,104,东西湖区 沿海丽水佳园
105,105,硚口区 百姓之春
106,106,青山区 江南春城-17栋
107,107,青山区 红钢城五街坊
108,108,武昌区 花园余家湖上段小区-2栋
109,109,洪山区 北港教师小区
110,110,江汉区 常青一院
111,111,江岸区 万锦江城-12栋
112,112,汉阳区 赛博思黄金口岸
113,113,武昌区 中南电力设计院二生活区-22栋
114,114,东西湖区 亿达华庭-1栋
115,115,硚口区 武汉市汉正街华贸商城-1号楼
116,116,青山区 碧苑花园
117,117,洪山区 保利时代北区-3栋
118,118,江岸区 融科天城
119,119,洪山区 花山郡
120,120,新洲区 观湖天下
121,121,硚口区 江山如画-六期
122,122,武昌区 华润置地橡树湾二期-B5栋
123,123,江岸区 黄合二村-27号楼
124,124,洪山区 鹿鸣苑
125,125,江岸区 华润·桃源里
126,126,硚口区 地质村-29号楼
127,127,洪山区 幸福佳苑
128,128,青山区 21街坊
129,129,新洲区 吴陈湾-29号楼
130,130,洪山区 东方雅园-一期
