,name,hospital,distance
0,0,武汉市肺科医院,6.32
1,1,武汉太康医院,7.46
2,2,武汉市第四医院,0.45
3,3,解放军中部战区总医院,1.04
4,4,武汉太康医院,4.92
5,5,武汉市第四医院,0.7
6,6,武汉市中心医院,0.46
7,7,武汉大学人民医院,7.99
8,8,武汉市江夏区第一人民医院,0.87
9,9,武汉市中医医院,1.14
10,10,武汉市紫荆医院,1.15
11,11,武汉市汉阳医院,1.51
12,12,武汉市第六医院,1.18
13,13,武汉市中心医院(后湖院区),3.15
14,14,武汉市第九医院,1.21
15,15,武汉市汉口医院,3.69
16,16,武汉市肺科医院,4.89
17,17,武汉市汉阳医院,0.96
18,18,武汉市江夏区第一人民医院,1.15
19,19,武汉市第八医院,0.3
20,20,武汉市第八医院,0.5
21,21,武汉市第九医院,0.96
22,22,武汉大学人民医院,1.08
23,23,湖北省荣军医院,1.35
24,24,武汉大学人民医院,2.96
25,25,武汉市肺科医院,1.05
26,26,武汉市第三医院,0.32
27,27,武汉市中心医院(后湖院区),0.79
28,28,华中科技大学同济医院附属梨园医院,3.35
29,29,武汉市第三医院,0.18
30,30,武汉市普仁医院,1.46
31,31,湖北六七二中西医结合骨科医院,1.52
32,32,武汉市武昌医院,1.08
33,33,武汉市第三医院光谷院区,1.25
34,34,武汉大学人民医院,0.92
35,35,武汉市普仁医院,0.74
36,36,湖北省中西医结合医院,0.7
37,37,华润武钢总医院,1.12
38,38,武汉市汉口医院,2.94
39,39,武汉市中心医院(后湖院区),1.91
40,40,武汉市汉阳医院,2.17
41,41,武汉市紫荆医院,1.25
42,42,武汉市第三医院光谷院区,0.84
43,43,武汉市紫荆医院,1.91
44,44,湖北省中医院,1.28
45,45,武汉市中医医院,1.14
46,46,武汉市江夏区第一人民医院,0.69
47,47,武汉大学人民医院,2.17
48,48,武汉市第四医院,1.22
49,49,湖北省第三人民医院,4.33
50,50,武汉市第九医院,2.39
51,51,武汉亚洲心脏病医院,1.12
52,52,武汉市肺科医院,1.45
53,53,武汉市中医医院,1.19
54,54,武汉市中医医院（汉阳院区）,1.85
55,55,武汉市第五医院,1.94
56,56,武汉市中医医院（汉阳院区）,2.0
57,57,武汉市中心医院,0.46
58,58,武汉市汉口医院,4.32
59,59,武汉大学人民医院,0.61
60,60,武汉市江夏区中医医院,2.67
61,61,武汉市武昌医院,3.06
62,62,武汉科技大学附属天佑医院,0.85
63,63,武汉市武东医院,6.12
64,64,武汉市肺科医院,7.0
65,65,武汉市中心医院(后湖院区),1.98
66,66,华中科技大学同济医学院附属协和医院（西院）,6.82
67,67,武汉市第九医院,2.84
68,68,武汉市红十字会医院,1.23
69,69,武汉市汉阳医院,1.95
70,70,湖北省中医院（光谷院区）,0.64
71,71,武汉科技大学附属天佑医院,7.86
72,72,武汉市第三医院光谷院区,4.14
73,73,武汉大学人民医院,0.58
74,74,武汉市第三医院光谷院区,1.99
75,75,武汉市汉口医院,4.8
76,76,武汉市第九医院,2.09
77,77,武汉市第九医院,0.96
78,78,武汉市第八医院,1.1
79,79,湖北省荣军医院,1.63
80,80,武汉市肺科医院,0.84
81,81,武汉科技大学附属天佑医院,0.52
82,82,武汉市中南医院,1.62
83,83,武汉市中南医院,1.99
84,84,武汉市肺科医院,4.83
85,85,湖北省第三人民医院,1.94
86,86,武汉市第九医院,0.52
87,87,武汉市第八医院,1.08
88,88,湖北省第三人民医院,0.22
89,89,武汉市第三医院光谷院区,2.96
90,90,武汉市江夏区第一人民医院,12.57
91,91,武汉市黄陂区中医医院,14.09
92,92,武汉市汉阳医院,2.62
93,93,武汉龙阳医院,2.94
94,94,武汉市红十字会医院,1.38
95,95,湖北省中医院,2.55
96,96,华中科技大学同济医学院附属协和医院（西院）,3.45
97,97,武汉市第四医院,0.9
98,98,武汉市第九医院,1.49
99,99,湖北省中西医结合医院,0.93
100,100,湖北省中医院,1.1
101,101,湖北六七二中西医结合骨科医院,1.34
102,102,武汉市中医医院（汉阳院区）,2.69
103,103,武汉市中医医院,0.8
104,104,武汉市中心医院(后湖院区),5.54
105,105,武汉市肺科医院,6.1
106,106,武汉市普仁医院,0.74
107,107,华润武钢总医院,1.67
108,108,武汉市紫荆医院,0.33
109,109,武汉科技大学附属天佑医院,3.76
110,110,武汉市中心医院(后湖院区),0.62
111,111,武汉市汉口医院,3.31
112,112,武汉龙阳医院,8.15
113,113,武汉市第七医院,0.75
114,114,武汉太康医院,3.4
115,115,武汉市第一医院,0.51
116,116,华润武钢总医院,1.12
117,117,武汉市第三医院光谷院区,1.25
118,118,武汉市中医医院,1.14
119,119,武钢第二职工医院,12.34
120,120,武钢第二职工医院,41.02
121,121,武汉市第四医院,0.28
122,122,武汉市武昌医院,1.72
123,123,武汉市汉口医院,4.43
124,124,湖北省荣军医院,1.65
125,125,武汉市第六医院,1.19
126,126,武汉市第一医院,0.86
127,127,湖北省荣军医院,3.1
128,128,华润武钢总医院,0.65
129,129,武钢第二职工医院,31.54
130,130,华润武钢总医院,2.67
131,131,武汉大学人民医院,2.66
132,132,湖北省第三人民医院,6.57
133,133,武汉市汉阳医院,2.61
134,134,武汉市中心医院(后湖院区),6.23
135,135,武汉市红十字会医院,0.96
136,136,湖北省第三人民医院,4.33
137,137,武钢第二职工医院,3.58
138,138,武汉大学人民医院（东院）,3.46
139,139,武汉市蔡甸区中医医院,0.93
140,140,武汉市中医医院,1.14
141,141,武汉市肺科医院,0.7
142,142,武汉市第五医院,1.44
143,143,武汉市汉阳医院,0.86
144,144,武汉市肺科医院,6.35
145,145,武汉市肺科医院,4.73
146,146,武汉市第一医院,0.47
147,147,华润武钢总医院,2.56
148,148,武汉龙阳医院,2.35
149,149,武汉龙阳医院,2.45
150,150,武汉市武东医院,2.32
151,151,武汉市第五医院,1.16
152,152,武汉亚心总医院,1.94
153,153,武汉市第九医院,1.51
154,154,武汉市汉口医院,3.81
155,155,武汉市普仁医院,1.46
156,156,武汉市汉阳医院,1.28
157,157,武汉亚心总医院,1.4
158,158,武汉大学人民医院,6.74
159,159,武汉市汉阳医院,1.62
160,160,武汉市紫荆医院,1.45
161,161,武汉市汉口医院,3.22
162,162,武汉科技大学附属天佑医院,3.61
163,163,武汉市武昌医院,1.0
164,164,武汉市肺科医院,1.87
165,165,解放军中部战区总医院,1.04
166,166,长江航运总医院,0.75
167,167,武汉市武昌医院,2.32
168,168,武汉太康医院,3.21
169,169,武汉龙阳医院,0.4
170,170,武汉市汉口医院,2.57
171,171,武汉市第三医院光谷院区,1.24
172,172,中部战区总医院（汉口院区）,0.48
173,173,武汉太康医院,4.74
174,174,中部战区总医院（汉口院区）,1.19
175,175,华润武钢总医院,1.67
176,176,武汉市中心医院(后湖院区),4.97
177,177,武汉大学人民医院,7.41
